genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
Control,20,k_3,10,251.417,0,10019.228986657,0.769999999999973,NaN,NaN,0.57274024946377,0.510634105231748
Control,20,k_5_0,0.1,24.0526,1,379.512779420359,0.244,0.105,0.25,0.950653134728514,0.915498036970327
Control,20,k_5_0,0.215443469003188,51.8197558254609,1,796.315667368931,0.241,0.103,0.247,0.949984449919452,0.909151957246194
Control,20,k_5_0,0.464158883361278,111.642279579355,1,1612.27493301687,0.236,0.1,0.243,0.948964172668545,0.897645190892258
Control,20,k_5_0,1,240.526,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_5_0,2.15443469003188,518.197558254609,1,4838.24702328636,0.2275,0.0860000000000001,0.229,0.946214690051154,0.861710338552017
Control,20,k_5_0,4.64158883361278,1116.42279579355,1,6764.2963797786,0.225,0.0750000000000001,0.22,0.944845143579505,0.845009395959774
Control,20,k_5_0,10,2405.26,1,8486.46308402595,0.224,0.0660000000000001,0.212,0.943669588183575,0.831303450242185
Control,20,k_4_0,0.1,5.19082,0,4266.97694664109,0.70699999999998,NaN,NaN,0.907904781313129,0.843024938323049
Control,20,k_4_0,0.215443469003188,11.1832826777113,0,3529.73084326276,0.364,NaN,NaN,0.920381811034106,0.857970526357874
Control,20,k_4_0,0.464158883361278,24.0936521492939,1,3336.5324759678,0.275,0.166,0.33,0.936343250225271,0.865544675382153
Control,20,k_4_0,1,51.9082,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_4_0,2.15443469003188,111.832826777113,1,2229.75798513688,0.1915,0.0760000000000001,0.203,0.953315939119672,0.902334353392855
Control,20,k_4_0,4.64158883361278,240.936521492939,1,1279.47881538906,0.151,0.0840000000000001,0.192,0.956237554817287,0.925595484481175
Control,20,k_4_0,10,519.082,1,618.686045389678,0.1185,0.105,0.19,0.957744161731346,0.942133092227101
Control,20,k_7_1,0.1,0.0100001,1,3035.81065926519,0.231,0.0940000000000001,0.237,0.947552441918628,0.87990797357215
Control,20,k_7_1,0.215443469003188,0.0215445623437878,1,3031.04259851006,0.231,0.0940000000000001,0.237,0.947565407015625,0.880042993983841
Control,20,k_7_1,0.464158883361278,0.0464163524950112,1,3020.66326924471,0.231,0.0940000000000001,0.237,0.947592930708207,0.880330360386765
Control,20,k_7_1,1,0.100001,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_7_1,2.15443469003188,0.215445623437878,1,2947.49949297353,0.23,0.0960000000000001,0.239,0.947765859707623,0.881635496183153
Control,20,k_7_1,4.64158883361278,0.464163524950111,1,2838.08513066545,0.2295,0.0990000000000001,0.241,0.947979605529214,0.883482828587928
Control,20,k_7_1,10,1.00001,1,2626.51025228458,0.2295,0.105,0.248,0.948302847205659,0.887448993486538
Control,20,k_7_2,0.1,0.848662,1,2709.23127254966,0.227,0.0930000000000001,0.235,0.948398711240771,0.885126906914962
Control,20,k_7_2,0.215443469003188,1.82838685291184,1,3014.81780522785,0.2305,0.0940000000000001,0.237,0.947661389421216,0.880954844278664
Control,20,k_7_2,0.464158883361278,3.93914006271149,1,3001.87986732461,0.231,0.0940000000000001,0.237,0.947650439034275,0.880906111011759
Control,20,k_7_2,1,8.48662,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_7_2,2.15443469003188,18.2838685291184,1,2997.1222932331,0.231,0.0950000000000001,0.238,0.947650373286498,0.880939543987353
Control,20,k_7_2,4.64158883361278,39.3914006271149,1,2995.9158096447,0.231,0.0950000000000001,0.238,0.947650379945038,0.880950113227745
Control,20,k_7_2,10,84.8662,1,2995.39692369471,0.231,0.0950000000000001,0.238,0.94765038505992,0.880954236732247
Control,20,k_7_3,0.1,0.810684,1,1380.48331410023,0.2215,0.0900000000000001,0.229,0.950904217963465,0.904439076469366
Control,20,k_7_3,0.215443469003188,1.74656573225381,1,1993.81397074781,0.2275,0.0860000000000001,0.227,0.949538039880965,0.89792689591416
Control,20,k_7_3,0.464158883361278,3.76286180198854,1,2904.58457841186,0.23,0.0910000000000001,0.233,0.947892185448398,0.883538558678437
Control,20,k_7_3,1,8.10684,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_7_3,2.15443469003188,17.4656573225381,1,2985.94680815868,0.231,0.0950000000000001,0.238,0.947650399757268,0.881037655464393
Control,20,k_7_3,4.64158883361278,37.6286180198854,1,2985.94680815868,0.231,0.0950000000000001,0.238,0.947650399757268,0.881037655464393
Control,20,k_7_3,10,81.0684,1,2985.94680815868,0.231,0.0950000000000001,0.238,0.947650399757268,0.881037655464393
Control,20,k_force,0.1,1.5e-05,1,2549.56907932779,0.213,0.0870000000000001,0.223,0.951318145712886,0.907226848379088
