genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9159.18189100156,0.559499999999994,NaN,NaN,0.828275457471696,0.696632644077181,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9159.18189100156,0.559499999999994,NaN,NaN,0.828275457471696,0.696632644077181,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8634.91251520757,0.489999999999996,NaN,NaN,0.83323487802077,0.709313371110026,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8634.91251520757,0.489999999999996,NaN,NaN,0.83323487802077,0.709313371110026,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8634.91251520757,0.489999999999996,NaN,NaN,0.83323487802077,0.709313371110026,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2978.44136117775,0.1415,0.134,1.79317169851616,1.43816254416961,1.6194029850745,7.90624227187994
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3020.23635481647,0.1415,0.134,1.75451889798776,1.43816254416961,1.6194029850745,7.7691140949168
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3298.34774364503,0.1415,0.134,1.52226228473348,1.43816254416961,1.6194029850745,7.00805999504261
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,peak,2978.44136117775,0.1415,0.134,1.72555452434264,1.03180212014134,-0.126865671641791,4.05824893024863
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,p95,3020.23635481647,0.1415,0.134,1.68783743182926,1.03180212014134,-0.126865671641791,3.92950571005327
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,least_squares,3298.34774364503,0.1415,0.134,1.46120329279656,1.03180212014134,-0.126865671641791,3.2158255766488
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,peak,2978.44136117775,0.1415,0.134,1.58094721689852,0.780918727915193,-0.41044776119403,3.27769552689706
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,p95,3020.23635481647,0.1415,0.134,1.5452312464116,0.780918727915193,-0.41044776119403,3.16604102916464
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,least_squares,3298.34774364503,0.1415,0.134,1.33062143209072,0.780918727915193,-0.41044776119403,2.54885481981702
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841,peak,2978.44136117775,0.1415,0.134,1.17625852330843,0.551236749116607,-0.477611940298507,1.91555923274808
