genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,0.1,10,0.316227766016838,1.69527,16.9527,156.713,361.442012001925,14622.0970452888,0.863999999999962,NaN,0.528496272610348,0.378134302428007,p95,3041.80273612007,0.333,0.136,3.80704973786032,1.59459459459448,NaN,NaN
H251N,10,0.1,10,0.316227766016838,1.69527,16.9527,156.713,361.442012001925,14622.0970452888,0.863999999999962,NaN,0.528496272610348,0.378134302428007,least_squares,3325.87523837113,0.333,0.136,3.39646589162198,1.59459459459448,NaN,NaN
H251N,10,0.1,10,1,1.69527,16.9527,156.713,1142.98,19684.7779068228,0.841999999999965,NaN,0.489700048037601,0.397443124463872,peak,2994.60909783253,0.333,0.136,5.57340482972235,1.52852852852842,NaN,NaN
H251N,10,0.1,10,1,1.69527,16.9527,156.713,1142.98,19684.7779068228,0.841999999999965,NaN,0.489700048037601,0.397443124463872,p95,3041.80273612007,0.333,0.136,5.47141830503167,1.52852852852842,NaN,NaN
H251N,10,0.1,10,1,1.69527,16.9527,156.713,1142.98,19684.7779068228,0.841999999999965,NaN,0.489700048037601,0.397443124463872,least_squares,3325.87523837113,0.333,0.136,4.91867598631379,1.52852852852842,NaN,NaN
H251N,10,0.1,10,3.16227766016838,1.69527,16.9527,156.713,3614.42012001925,18466.6282392313,0.789999999999971,NaN,0.468208761215744,0.417106990782452,peak,2994.60909783253,0.333,0.136,5.16662396858318,1.37237237237228,NaN,NaN
H251N,10,0.1,10,3.16227766016838,1.69527,16.9527,156.713,3614.42012001925,18466.6282392313,0.789999999999971,NaN,0.468208761215744,0.417106990782452,p95,3041.80273612007,0.333,0.136,5.07094865815861,1.37237237237228,NaN,NaN
H251N,10,0.1,10,3.16227766016838,1.69527,16.9527,156.713,3614.42012001925,18466.6282392313,0.789999999999971,NaN,0.468208761215744,0.417106990782452,least_squares,3325.87523837113,0.333,0.136,4.55241159565429,1.37237237237228,NaN,NaN
H251N,10,0.1,10,10,1.69527,16.9527,156.713,11429.8,15640.6779990358,0.716499999999978,NaN,0.459280760406903,0.426076899691457,peak,2994.60909783253,0.333,0.136,4.22294479448298,1.15165165165158,NaN,NaN
H251N,10,0.1,10,10,1.69527,16.9527,156.713,11429.8,15640.6779990358,0.716499999999978,NaN,0.459280760406903,0.426076899691457,p95,3041.80273612007,0.333,0.136,4.14191068780024,1.15165165165158,NaN,NaN
