param,best,x_value,peak_force
max_rate,5000,1077.21734501594,5014.9263977822
max_rate,5000,2320.79441680639,5014.9263977822
max_rate,5000,5000,5014.9263977822
max_rate,5000,10772.1734501594,5014.9263977822
max_rate,5000,23207.9441680639,5014.9263977822
max_rate,5000,50000,5014.9263977822
k_6_0,0.1,0.01,5014.93072127218
k_6_0,0.1,0.0215443469003188,5014.93016652351
k_6_0,0.1,0.0464158883361278,5014.9289715259
k_6_0,0.1,0.1,5014.9263977822
k_6_0,0.1,0.215443469003188,5014.92085653281
k_6_0,0.1,0.464158883361278,5014.90893548009
k_6_0,0.1,1,5014.88333193663
