id,group_id,alignment_policy,genotype,stage,restart,target_peak,target_force_rise_time,target_calcium_to_force_lag,target_time_to_peak_argmax,target_time_to_peak_centroid,target_relax_half_time,target_fwhm,target_normalized_rmse,model_peak,model_relative_peak_error_signed,model_force_rise_time,model_calcium_to_force_lag,model_time_to_peak_argmax,model_time_to_peak_centroid,model_relax_half_time,model_fwhm,model_normalized_rmse
shared_by_genotype__H251N__plus_k73__s08,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,8,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3037.0324844139,0.0141665857530701,0.497,0.017,0.289,0.291,0.198,0.381,0.0484553207762578
independent_trace__Control__k123__s01,independent_trace__Control,independent_trace,Control,k123,1,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,2290.59869963781,0.512548207397067,0.501,0.021,0.267,0.267,0.14,0.293,0.464690243965911
independent_trace__Control__k123__s02,independent_trace__Control,independent_trace,Control,k123,2,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,2459.7573913815,0.624248557180296,0.497,0.017,0.245,0.2455,0.154,0.308,0.470247690516821
independent_trace__Control__k123__s03,independent_trace__Control,independent_trace,Control,k123,3,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,2381.08709359173,0.572300296703187,0.498,0.018,0.253,0.254,0.159,0.314,0.460520339682505
independent_trace__Control__k123__s04,independent_trace__Control,independent_trace,Control,k123,4,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,2146.03712191939,0.417090039508008,0.502,0.022,0.256,0.2555,0.118,0.263,0.468854368393706
independent_trace__Control__plus_k50__s01,independent_trace__Control,independent_trace,Control,plus_k50,1,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1260.3167027444,-0.167776629843526,0.48,0,0.358,0.365,0.396999999999974,0.625999999999974,0.10714053328768
independent_trace__Control__plus_k50__s02,independent_trace__Control,independent_trace,Control,plus_k50,2,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1271.40692105207,-0.160453439699581,0.48,0,0.344,0.3485,0.415999999999974,0.641999999999974,0.109602348228425
independent_trace__Control__plus_k50__s03,independent_trace__Control,independent_trace,Control,plus_k50,3,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1261.89615713265,-0.166733670680057,0.48,0,0.33,0.3375,0.436999999999973,0.650999999999973,0.105200805246906
independent_trace__Control__plus_k50__s04,independent_trace__Control,independent_trace,Control,plus_k50,4,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1274.85823191132,-0.158174439866852,0.48,0,0.351,0.356,0.402999999999974,0.629999999999974,0.10959016394521
independent_trace__Control__plus_k40__s01,independent_trace__Control,independent_trace,Control,plus_k40,1,1514.39715338375,0.495,0.015,0.352,0.35,0.372999999999977,0.607999999999978,0,1261.89615713265,-0.166733670680057,0.48,0,0.33,0.3375,0.436999999999973,0.650999999999973,0.105200805246906
