id,group_id,alignment_policy,genotype,stage,restart,name,p_raw,p_simulated,normalized_distance,physical_distance,log_distance,fold_distance,lower_bound,upper_bound,physical_value,classification
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_5_0,0.5872992482,0.5872992482,0.4127007518,335.498420220587,0.8254015036,6.68962084686017,24.0526000040455,2405.26000040455,359.551020224633,interior
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_4_0,5.973336238e-05,5.973336238e-05,5.973336238e-05,0.00142809911533437,0.00011946672474202,1.00027512013811,5.19082000020333,519.081999661764,5.19224809931866,near_lower
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_7_3,0.5206064233,0.5206064233,0.4793935767,8.10314807834029,0.958787153553406,9.09467436077522,0.810683999993441,81.0684000590775,8.91383207833373,interior
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_1,0.9995474459,0.9995474459,0.000452554100000002,0.116707351261979,0.000905108199864553,1.00208626187077,0.56057599996597,56.0575999578738,55.9408926066118,near_upper
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_2,0.5109408275,0.5109408275,0.4890591725,53.3486306868992,0.978118344853282,9.50863867899401,5.6057599996597,560.575999578738,58.9543906865589,interior
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_3,0.3711038008,0.3711038008,0.3711038008,11.3726319433167,0.74220760163711,5.52341406664251,2.51416999986428,251.417000044319,13.886801943181,interior
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_5_0,0.004259408952,0.004259408952,0.004259408952,0.47645668424493,0.00851881790400006,1.01980894723085,24.0526000040455,2405.26000040455,24.5290566882904,near_lower
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_4_0,0.5156300176,0.5156300176,0.4843699824,50.5914269962007,0.968739964654689,9.30550538229888,5.19082000020333,519.081999661764,55.7822469964041,interior
shared_by_genotype__Control__plus_k73__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,4,k_7_3,0.8649152069,0.8649152069,0.1350847931,37.5490885795779,0.270169586243227,1.86281439901148,0.810683999993441,81.0684000590775,43.5193114794995,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_1,0.6341943041,0.6341943041,0.3658056959,9.83917900260222,0.731611391690258,5.39028082334925,0.56057599996597,56.0575999578738,10.3997550025682,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_2,0.6691967423,0.6691967423,0.3308032577,116.582079199444,0.661606515300759,4.58782153161155,5.6057599996597,560.575999578738,122.187839199104,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_3,0.4325330107,0.4325330107,0.4325330107,15.9130856622835,0.865066021443253,7.3293594558612,2.51416999986428,251.417000044319,18.4272556621478,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_5_0,0.08904572351,0.08904572351,0.08904572351,12.1928483250917,0.17809144702,1.50692433762009,24.0526000040455,2405.26000040455,36.2454483291371,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_4_0,0.2382271421,0.2382271421,0.2382271421,10.3577428479085,0.476454284128532,2.99539626639004,5.19082000020333,519.081999661764,15.5485628481118,interior
shared_by_genotype__Control__plus_k73__s05,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,5,k_7_3,0.9999443641,0.9999443641,5.56359000000173e-05,0.0207681001571274,0.000111271800017786,1.00025624561329,0.810683999993441,81.0684000590775,81.0476319589203,near_upper
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_1,0.3172400133,0.3172400133,0.3172400133,1.85552189412786,0.634480026504828,4.31002735443633,0.56057599996597,56.0575999578738,2.41609789409383,interior
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_2,0.6531932883,0.6531932883,0.3468067117,107.90083001139,0.693613423295958,4.93870884081855,5.6057599996597,560.575999578738,113.50659001105,interior
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_3,0.9999917218,0.9999917218,8.27820000004476e-06,0.00958446687820924,1.65564000011373e-05,1.00003812324651,2.51416999986428,251.417000044319,251.40741557744,near_upper
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_5_0,0.1465759162,0.1465759162,0.1465759162,23.18783209861,0.2931518324,1.96404680137324,24.0526000040455,2405.26000040455,47.2404321026554,interior
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_4_0,0.5057080346,0.5057080346,0.4942919654,48.0999552672827,0.988583930651712,9.74056010737882,5.19082000020333,519.081999661764,53.290775267486,interior
shared_by_genotype__Control__plus_k73__s06,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,6,k_7_3,0.1540721608,0.1540721608,0.1540721608,0.837462920500153,0.308144321649303,2.03303250157512,0.810683999993441,81.0684000590775,1.64814692049359,interior
shared_by_genotype__Control__plus_k73__s07,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,7,k_1,0.2130436949,0.2130436949,0.2130436949,0.93470181564246,0.426087389736087,2.66739534996004,0.56057599996597,56.0575999578738,1.49527781560843,interior
