genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,10,10,0.1,3.16227766016838,56.0576,560.576,2.51417,760.60999648966,1590.47862486987,0.15,0.0860000000000001,0.918779482594641,0.888608983560564
Control,10,10,0.1,10,56.0576,560.576,2.51417,2405.26,2213.94453551993,0.1465,0.0840000000000001,0.918301229499843,0.881028177528156
Control,10,10,0.316227766016838,0.1,56.0576,560.576,7.95050362486553,24.0526,310.7107216617,0.2175,0.0880000000000001,0.916628201768729,0.89130548694483
Control,10,10,0.316227766016838,0.316227766016838,56.0576,560.576,7.95050362486553,76.060999648966,909.936485203234,0.2115,0.0860000000000001,0.91555779472604,0.879962793729122
Control,10,10,0.316227766016838,1,56.0576,560.576,7.95050362486553,240.526,2289.15949856134,0.202,0.0810000000000001,0.913811659640177,0.857866269405586
Control,10,10,0.316227766016838,3.16227766016838,56.0576,560.576,7.95050362486553,760.60999648966,4312.43336867831,0.1955,0.0720000000000001,0.911826778220923,0.83053185458691
Control,10,10,0.316227766016838,10,56.0576,560.576,7.95050362486553,2405.26,6238.05942957817,0.1935,0.0620000000000001,0.91012159088891,0.807997990336842
Control,10,10,1,0.1,56.0576,560.576,25.1417,24.0526,463.09856976468,0.278,0.149,0.901631499675379,0.86224051559407
Control,10,10,1,0.316227766016838,56.0576,560.576,25.1417,76.060999648966,1444.05164588647,0.275,0.149,0.896471313973421,0.839283548056711
Control,10,10,1,1,56.0576,560.576,25.1417,240.526,4024.57478542214,0.271,0.146,0.887391120694969,0.791790715017394
Control,10,10,1,3.16227766016838,56.0576,560.576,25.1417,760.60999648966,8005.03433921417,0.2675,0.125,0.876403067441595,0.73742835261334
Control,10,10,1,10,56.0576,560.576,25.1417,2405.26,11648.5828339597,0.264,0.0950000000000001,0.866911808541693,0.700150070907856
Control,10,10,3.16227766016838,0.1,56.0576,560.576,79.5050362486553,24.0526,1004.39607757194,0.759499999999974,NaN,0.776615900503451,0.743581106745367
Control,10,10,3.16227766016838,0.316227766016838,56.0576,560.576,79.5050362486553,76.060999648966,3353.39677932756,0.768499999999973,NaN,0.725941915900944,0.644213128813481
Control,10,10,3.16227766016838,1,56.0576,560.576,79.5050362486553,240.526,8337.42537081309,0.765999999999973,NaN,0.63325327049293,0.539638704371179
Control,10,10,3.16227766016838,3.16227766016838,56.0576,560.576,79.5050362486553,760.60999648966,12481.2154269765,0.753999999999974,NaN,0.562056558837085,0.500102663324997
Control,10,10,3.16227766016838,10,56.0576,560.576,79.5050362486553,2405.26,13709.2120180037,0.735999999999976,NaN,0.532489178065413,0.494747580963389
Control,10,10,10,0.1,56.0576,560.576,251.417,24.0526,1618.55057770527,0.777499999999972,NaN,0.509284886201323,0.48075832556688
Control,10,10,10,0.316227766016838,56.0576,560.576,251.417,76.060999648966,4836.12225771407,0.775999999999972,NaN,0.467811578891691,0.422322266184219
Control,10,10,10,1,56.0576,560.576,251.417,240.526,11031.4984085068,0.770999999999973,NaN,0.417725324859852,0.392946232468252
Control,10,10,10,3.16227766016838,56.0576,560.576,251.417,760.60999648966,14712.9847540498,0.756499999999974,NaN,0.406396512282192,0.415275815879852
Control,10,10,10,10,56.0576,560.576,251.417,2405.26,13389.2988640399,0.725999999999978,NaN,0.41777444954676,0.438996700483653
Control,20,0.1,0.1,0.1,0.560576,11.21152,2.51417,24.0526,86.1146112461824,0.1615,0.0860000000000001,0.958195117040644,0.953434636927322
Control,20,0.1,0.1,0.316227766016838,0.560576,11.21152,2.51417,76.060999648966,220.566535549757,0.1535,0.0890000000000001,0.958121046000147,0.952987042906675
Control,20,0.1,0.1,1,0.560576,11.21152,2.51417,240.526,450.141553475449,0.1435,0.0920000000000001,0.958003622294303,0.952236139363738
Control,20,0.1,0.1,3.16227766016838,0.560576,11.21152,2.51417,760.60999648966,719.508295376841,0.1365,0.0930000000000001,0.957874985162726,0.951329797792778
Control,20,0.1,0.1,10,0.560576,11.21152,2.51417,2405.26,956.620925624675,0.1335,0.0920000000000001,0.957768064325305,0.950488564191219
Control,20,0.1,0.316227766016838,0.1,0.560576,11.21152,7.95050362486553,24.0526,193.034636980611,0.1985,0.0840000000000001,0.956507816722804,0.942383647871092
Control,20,0.1,0.316227766016838,0.316227766016838,0.560576,11.21152,7.95050362486553,76.060999648966,520.330575730077,0.1915,0.0830000000000001,0.956260964362561,0.940907444225214
Control,20,0.1,0.316227766016838,1,0.560576,11.21152,7.95050362486553,240.526,1134.68800974174,0.181,0.0820000000000001,0.955868642167027,0.938307367291635
Control,20,0.1,0.316227766016838,3.16227766016838,0.560576,11.21152,7.95050362486553,760.60999648966,1899.90273860054,0.1745,0.0800000000000001,0.955438252633687,0.935143454636992
