genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_3,10,156.713,0,16073.1616400727,0.832499999999966,NaN,NaN,0.362121493852364,0.377186562474751,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,10,156.713,0,16073.1616400727,0.832499999999966,NaN,NaN,0.362121493852364,0.377186562474751,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,10,156.713,0,16073.1616400727,0.832499999999966,NaN,NaN,0.362121493852364,0.377186562474751,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.1,114.298,0,3227.87747531168,0.854499999999963,NaN,NaN,0.832641728932121,0.750470268917318,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.1,114.298,0,3227.87747531168,0.854499999999963,NaN,NaN,0.832641728932121,0.750470268917318,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.1,114.298,0,3227.87747531168,0.854499999999963,NaN,NaN,0.832641728932121,0.750470268917318,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.215443469003188,246.247576201264,0,4926.27876328554,0.831999999999966,NaN,NaN,0.835510484992621,0.738584742742219,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.215443469003188,246.247576201264,0,4926.27876328554,0.831999999999966,NaN,NaN,0.835510484992621,0.738584742742219,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.215443469003188,246.247576201264,0,4926.27876328554,0.831999999999966,NaN,NaN,0.835510484992621,0.738584742742219,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6442.16271695658,0.657999999999984,NaN,NaN,0.838315067135097,0.733914766160643,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6442.16271695658,0.657999999999984,NaN,NaN,0.838315067135097,0.733914766160643,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6442.16271695658,0.657999999999984,NaN,NaN,0.838315067135097,0.733914766160643,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2994.60909783253,0.333,0.136,1.77809151176127,0.0360360360360357,1.58088235294105,5.66209703393112
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3041.80273612007,0.333,0.136,1.7349893590875,0.0360360360360357,1.58088235294105,5.51067568588048
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3325.87523837113,0.333,0.136,1.50138610725701,0.0360360360360357,1.58088235294105,4.75464785279798
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,peak,2994.60909783253,0.333,0.136,2.49042828989753,-0.144144144144145,-0.360294117647059,6.35282245262403
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,p95,3041.80273612007,0.333,0.136,2.43627421599064,-0.144144144144145,-0.360294117647059,6.08602144100291
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,least_squares,3325.87523837113,0.333,0.136,2.14277222178013,-0.144144144144145,-0.360294117647059,4.74206217993469
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,peak,2994.60909783253,0.333,0.136,3.10172017144442,-0.217717717717718,-0.610294117647059,10.040527936588
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,p95,3041.80273612007,0.333,0.136,3.03808189016167,-0.217717717717718,-0.610294117647059,9.64980148597111
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,least_squares,3325.87523837113,0.333,0.136,2.69317778383845,-0.217717717717718,-0.610294117647059,7.67306649000381
